region,category,parameter,mode,powertrain,year,unit,value
Washington,Passenger Vehicles,EV Sales,Cars,BEV,2021,Vehicles,25204.86
New York,Commercial Vehicles,EV Stock,Bikes,BEV,2024,Percent,34836.69
New York,Passenger Vehicles,EV Stock,Bikes,PHEV,2022,Charging Point,8117.39
Arizona,Commercial Vehicles,EV Sales,Vans,BEV,2018,Vehicles,46980.65
Florida,Commercial Vehicles,EV Stock,Cars,PHEV,2022,Charging Point,19997.5
New York,Passenger Vehicles,EV Stock,Bikes,PHEV,2023,Charging Point,45840.01
Washington,Commercial Vehicles,EV Sales,Buses,BEV,2019,Vehicles,5125.56
New York,Commercial Vehicles,EV Sales,Buses,PHEV,2021,Vehicles,25811.2
Arizona,Commercial Vehicles,EV Stock,Cars,PHEV,2024,Vehicles,169.88
Texas,Passenger Vehicles,EV Sales,Buses,BEV,2024,Charging Point,20859.31
California,Passenger Vehicles,EV Sales,Vans,BEV,2024,Vehicles,4250.87
Nevada,Commercial Vehicles,EV Sales,Cars,BEV,2020,Vehicles,22514.06
Washington,Commercial Vehicles,EV Stock,Buses,BEV,2022,Charging Point,27834.16
California,Commercial Vehicles,EV Stock,Cars,BEV,2019,Charging Point,42628.35
Georgia,Commercial Vehicles,EV Stock,Vans,BEV,2019,Charging Point,14842.08
Colorado,Commercial Vehicles,EV Sales,Cars,BEV,2018,Charging Point,28383.74
New York,Commercial Vehicles,EV Sales,Buses,PHEV,2020,Percent,3416.2
New York,Commercial Vehicles,EV Stock,Vans,PHEV,2024,Charging Point,45683.9
Florida,Commercial Vehicles,EV Stock,Vans,BEV,2019,Vehicles,22641.36
California,Passenger Vehicles,EV Stock,Vans,PHEV,2020,Vehicles,12704.24
Colorado,Commercial Vehicles,EV Sales,Vans,PHEV,2021,Charging Point,23215.22
New York,Commercial Vehicles,EV Sales,Bikes,PHEV,2023,Vehicles,24127.15
Georgia,Passenger Vehicles,EV Stock,Vans,BEV,2022,Vehicles,37190.49
Florida,Passenger Vehicles,EV Stock,Vans,PHEV,2019,Percent,48731.25
California,Commercial Vehicles,EV Stock,Bikes,BEV,2021,Percent,9388.54
Florida,Commercial Vehicles,EV Stock,Vans,PHEV,2018,Charging Point,2819.22
California,Commercial Vehicles,EV Sales,Buses,BEV,2020,Percent,32819.79
Illinois,Commercial Vehicles,EV Sales,Cars,PHEV,2023,Vehicles,44240.46
Illinois,Passenger Vehicles,EV Sales,Cars,PHEV,2021,Charging Point,28295.58
Arizona,Passenger Vehicles,EV Stock,Cars,BEV,2020,Charging Point,4085.51
Washington,Commercial Vehicles,EV Stock,Vans,PHEV,2024,Vehicles,21146.57
Florida,Passenger Vehicles,EV Sales,Bikes,BEV,2024,Vehicles,32771.17
Arizona,Commercial Vehicles,EV Stock,Cars,BEV,2023,Vehicles,16469.58
Florida,Commercial Vehicles,EV Sales,Bikes,BEV,2020,Vehicles,42260.86
New York,Passenger Vehicles,EV Stock,Cars,PHEV,2019,Percent,11312.21
Nevada,Passenger Vehicles,EV Stock,Cars,PHEV,2020,Vehicles,18288.29
Florida,Passenger Vehicles,EV Sales,Vans,BEV,2021,Charging Point,45829.98
New York,Commercial Vehicles,EV Stock,Vans,BEV,2018,Percent,28720.13
Colorado,Passenger Vehicles,EV Sales,Bikes,BEV,2019,Charging Point,411.13
Illinois,Commercial Vehicles,EV Sales,Cars,PHEV,2022,Vehicles,12276.66
Arizona,Passenger Vehicles,EV Sales,Buses,PHEV,2018,Vehicles,37690.48
Nevada,Commercial Vehicles,EV Stock,Buses,BEV,2021,Charging Point,2697.21
Georgia,Commercial Vehicles,EV Sales,Cars,PHEV,2019,Charging Point,49653.5
Illinois,Passenger Vehicles,EV Sales,Cars,PHEV,2023,Vehicles,44905.51
Arizona,Commercial Vehicles,EV Stock,Buses,BEV,2023,Percent,11268.96
Nevada,Commercial Vehicles,EV Stock,Cars,BEV,2020,Vehicles,44785.69
Georgia,Passenger Vehicles,EV Stock,Bikes,PHEV,2024,Percent,35003.73
Texas,Commercial Vehicles,EV Sales,Cars,BEV,2018,Vehicles,21325.01
New York,Commercial Vehicles,EV Stock,Vans,BEV,2019,Percent,9886.26
Texas,Commercial Vehicles,EV Sales,Vans,PHEV,2022,Vehicles,10090.55
New York,Commercial Vehicles,EV Stock,Buses,BEV,2024,Charging Point,29744.31
California,Passenger Vehicles,EV Stock,Cars,BEV,2022,Charging Point,20861.46
Washington,Passenger Vehicles,EV Stock,Vans,PHEV,2022,Vehicles,29800.77
Nevada,Passenger Vehicles,EV Sales,Cars,BEV,2023,Vehicles,16579.75
Texas,Commercial Vehicles,EV Sales,Bikes,PHEV,2019,Percent,11580.72
Washington,Commercial Vehicles,EV Sales,Vans,BEV,2018,Percent,41844.13
Nevada,Passenger Vehicles,EV Stock,Buses,PHEV,2020,Vehicles,46010.17
Arizona,Commercial Vehicles,EV Stock,Cars,PHEV,2018,Percent,35292.33
California,Passenger Vehicles,EV Stock,Buses,BEV,2020,Charging Point,8163.29
Arizona,Passenger Vehicles,EV Sales,Vans,BEV,2018,Charging Point,4706.29
New York,Passenger Vehicles,EV Stock,Vans,BEV,2018,Vehicles,27000.28
Washington,Commercial Vehicles,EV Stock,Vans,PHEV,2019,Charging Point,27562.57
Nevada,Passenger Vehicles,EV Stock,Bikes,PHEV,2022,Percent,31998.16
Florida,Passenger Vehicles,EV Stock,Bikes,BEV,2024,Vehicles,45318.15
Washington,Passenger Vehicles,EV Sales,Vans,BEV,2022,Charging Point,32375.01
Colorado,Passenger Vehicles,EV Stock,Cars,PHEV,2022,Vehicles,45815.71
Georgia,Commercial Vehicles,EV Stock,Bikes,BEV,2024,Charging Point,5973.1
Texas,Passenger Vehicles,EV Sales,Vans,PHEV,2022,Charging Point,35491.45
Nevada,Passenger Vehicles,EV Stock,Cars,BEV,2018,Charging Point,46379.32
Illinois,Commercial Vehicles,EV Stock,Buses,BEV,2022,Charging Point,23194.01
Illinois,Commercial Vehicles,EV Stock,Bikes,BEV,2018,Vehicles,48379.26
Georgia,Commercial Vehicles,EV Stock,Vans,PHEV,2020,Charging Point,27670.41
New York,Commercial Vehicles,EV Stock,Bikes,BEV,2021,Charging Point,47154.41
Washington,Commercial Vehicles,EV Sales,Cars,PHEV,2024,Charging Point,37451.06
Washington,Commercial Vehicles,EV Stock,Cars,PHEV,2024,Vehicles,22942.27
Illinois,Commercial Vehicles,EV Sales,Cars,BEV,2021,Charging Point,1811.14
Washington,Commercial Vehicles,EV Sales,Bikes,BEV,2020,Charging Point,32903.85
Georgia,Commercial Vehicles,EV Sales,Vans,PHEV,2018,Charging Point,12788.5
Washington,Passenger Vehicles,EV Stock,Cars,BEV,2024,Vehicles,14503.9
New York,Commercial Vehicles,EV Sales,Bikes,BEV,2022,Charging Point,1087.22
Texas,Commercial Vehicles,EV Sales,Buses,PHEV,2019,Charging Point,27926.86
Colorado,Commercial Vehicles,EV Stock,Bikes,BEV,2018,Vehicles,14535.79
Texas,Passenger Vehicles,EV Stock,Bikes,PHEV,2018,Percent,49121.18
Colorado,Passenger Vehicles,EV Stock,Buses,PHEV,2024,Vehicles,37475.48
Florida,Commercial Vehicles,EV Stock,Buses,PHEV,2020,Percent,17938.62
Texas,Commercial Vehicles,EV Sales,Buses,PHEV,2020,Percent,14792.99
Georgia,Commercial Vehicles,EV Sales,Buses,PHEV,2019,Percent,35777.17
California,Passenger Vehicles,EV Stock,Cars,BEV,2022,Percent,12784.97
Florida,Commercial Vehicles,EV Stock,Vans,PHEV,2021,Percent,22455.49
Colorado,Passenger Vehicles,EV Stock,Buses,PHEV,2023,Vehicles,8103.23
Colorado,Commercial Vehicles,EV Sales,Vans,BEV,2022,Charging Point,12780.01
Florida,Commercial Vehicles,EV Sales,Vans,PHEV,2022,Vehicles,5009.43
Colorado,Passenger Vehicles,EV Stock,Cars,PHEV,2023,Vehicles,21414.68
Nevada,Passenger Vehicles,EV Stock,Vans,BEV,2023,Charging Point,46346.47
California,Passenger Vehicles,EV Sales,Buses,BEV,2018,Charging Point,5132.93
Georgia,Passenger Vehicles,EV Sales,Bikes,BEV,2019,Vehicles,21922.8
Nevada,Passenger Vehicles,EV Stock,Bikes,PHEV,2024,Vehicles,14986.29
Colorado,Passenger Vehicles,EV Sales,Bikes,PHEV,2018,Vehicles,18211.9
Texas,Commercial Vehicles,EV Sales,Vans,PHEV,2020,Vehicles,38597.14
Nevada,Passenger Vehicles,EV Sales,Bikes,BEV,2023,Charging Point,21808.65
Texas,Commercial Vehicles,EV Sales,Cars,PHEV,2021,Percent,32554.63
Florida,Commercial Vehicles,EV Stock,Bikes,PHEV,2024,Vehicles,48612.65
Washington,Commercial Vehicles,EV Sales,Bikes,PHEV,2019,Percent,30861.39
Arizona,Passenger Vehicles,EV Stock,Vans,BEV,2024,Percent,16935.7
Colorado,Commercial Vehicles,EV Sales,Vans,BEV,2019,Vehicles,19943.02
Arizona,Passenger Vehicles,EV Sales,Vans,BEV,2022,Vehicles,34825.86
California,Commercial Vehicles,EV Stock,Buses,BEV,2018,Charging Point,34747.27
Texas,Passenger Vehicles,EV Stock,Buses,PHEV,2022,Percent,18468.33
Nevada,Commercial Vehicles,EV Sales,Vans,PHEV,2022,Vehicles,36250.93
Arizona,Passenger Vehicles,EV Stock,Bikes,PHEV,2019,Vehicles,27573.74
New York,Passenger Vehicles,EV Sales,Vans,BEV,2021,Charging Point,49022.98
Colorado,Passenger Vehicles,EV Stock,Cars,PHEV,2020,Vehicles,45413.74
Arizona,Passenger Vehicles,EV Stock,Bikes,PHEV,2022,Percent,41210.27
Nevada,Commercial Vehicles,EV Sales,Bikes,PHEV,2023,Vehicles,1813.29
Nevada,Commercial Vehicles,EV Sales,Vans,PHEV,2021,Vehicles,19083.69
California,Commercial Vehicles,EV Stock,Bikes,BEV,2023,Charging Point,28707.23
Illinois,Commercial Vehicles,EV Sales,Bikes,PHEV,2022,Percent,26128.65
Georgia,Passenger Vehicles,EV Stock,Cars,BEV,2021,Percent,38201.93
New York,Passenger Vehicles,EV Sales,Cars,PHEV,2018,Percent,45463.28
Arizona,Passenger Vehicles,EV Stock,Vans,BEV,2023,Vehicles,39378.43
Georgia,Commercial Vehicles,EV Stock,Bikes,BEV,2020,Vehicles,11088.03
New York,Passenger Vehicles,EV Stock,Buses,BEV,2019,Vehicles,24332.05
Illinois,Passenger Vehicles,EV Stock,Cars,PHEV,2018,Percent,19741.22
Arizona,Passenger Vehicles,EV Stock,Buses,BEV,2022,Percent,38333.41
New York,Commercial Vehicles,EV Sales,Buses,BEV,2022,Percent,44766.69
Georgia,Commercial Vehicles,EV Sales,Buses,PHEV,2020,Percent,14412.71
Texas,Commercial Vehicles,EV Stock,Cars,PHEV,2024,Vehicles,24496.6
Nevada,Passenger Vehicles,EV Sales,Cars,PHEV,2024,Charging Point,36622.73
Washington,Commercial Vehicles,EV Sales,Bikes,PHEV,2023,Percent,2592.65
Florida,Passenger Vehicles,EV Stock,Vans,BEV,2023,Charging Point,48157.29
Colorado,Passenger Vehicles,EV Sales,Bikes,BEV,2020,Percent,40018.2
Washington,Passenger Vehicles,EV Sales,Cars,PHEV,2020,Charging Point,27184.05
Arizona,Passenger Vehicles,EV Sales,Bikes,BEV,2022,Charging Point,38954.66
Arizona,Passenger Vehicles,EV Stock,Vans,BEV,2022,Charging Point,41834.26
New York,Commercial Vehicles,EV Sales,Bikes,BEV,2019,Vehicles,24742.38
Nevada,Commercial Vehicles,EV Stock,Cars,BEV,2020,Charging Point,22059.58
Illinois,Commercial Vehicles,EV Sales,Buses,BEV,2021,Vehicles,41901.4
California,Passenger Vehicles,EV Stock,Bikes,PHEV,2024,Charging Point,42997.63
New York,Commercial Vehicles,EV Stock,Cars,PHEV,2019,Vehicles,6269.01
California,Passenger Vehicles,EV Sales,Buses,PHEV,2021,Percent,45401.32
Florida,Passenger Vehicles,EV Sales,Cars,PHEV,2024,Percent,13912.02
Georgia,Passenger Vehicles,EV Stock,Bikes,PHEV,2018,Charging Point,33391.65
New York,Commercial Vehicles,EV Stock,Buses,PHEV,2020,Vehicles,35494.59
Florida,Passenger Vehicles,EV Stock,Bikes,PHEV,2019,Percent,14058.21
Colorado,Commercial Vehicles,EV Stock,Vans,BEV,2023,Vehicles,15278.39
New York,Passenger Vehicles,EV Stock,Buses,PHEV,2024,Vehicles,35344.4
Nevada,Commercial Vehicles,EV Sales,Buses,BEV,2019,Percent,8836.29
Nevada,Commercial Vehicles,EV Sales,Cars,BEV,2018,Vehicles,42934.83
Arizona,Commercial Vehicles,EV Sales,Bikes,BEV,2018,Vehicles,11222.48
Colorado,Commercial Vehicles,EV Stock,Vans,BEV,2018,Vehicles,17623.51
Arizona,Passenger Vehicles,EV Sales,Cars,BEV,2024,Percent,13406.26
California,Passenger Vehicles,EV Sales,Buses,PHEV,2019,Vehicles,12340.36
Washington,Commercial Vehicles,EV Stock,Buses,BEV,2022,Percent,48945.43
Illinois,Commercial Vehicles,EV Stock,Buses,PHEV,2021,Vehicles,12740.89
Colorado,Commercial Vehicles,EV Stock,Buses,PHEV,2023,Vehicles,28958.62
Georgia,Commercial Vehicles,EV Stock,Cars,PHEV,2023,Percent,37294.53
Illinois,Commercial Vehicles,EV Stock,Bikes,BEV,2021,Percent,2194.53
Illinois,Commercial Vehicles,EV Sales,Bikes,BEV,2023,Vehicles,44090.44
Texas,Passenger Vehicles,EV Sales,Cars,PHEV,2018,Vehicles,7729.17
New York,Passenger Vehicles,EV Sales,Cars,PHEV,2023,Charging Point,29444.48
Georgia,Commercial Vehicles,EV Sales,Vans,PHEV,2022,Vehicles,32092.29
Colorado,Passenger Vehicles,EV Stock,Bikes,PHEV,2022,Percent,31515.34
Arizona,Passenger Vehicles,EV Stock,Bikes,PHEV,2018,Vehicles,36698.96
California,Passenger Vehicles,EV Sales,Buses,BEV,2020,Charging Point,46568.75
New York,Commercial Vehicles,EV Stock,Bikes,PHEV,2019,Vehicles,46351.71
Texas,Commercial Vehicles,EV Sales,Vans,PHEV,2024,Charging Point,28946.09
California,Commercial Vehicles,EV Stock,Buses,PHEV,2020,Percent,18558.95
Colorado,Commercial Vehicles,EV Stock,Cars,PHEV,2024,Percent,16143.08
Washington,Passenger Vehicles,EV Stock,Buses,BEV,2024,Vehicles,44345.69
Illinois,Commercial Vehicles,EV Sales,Buses,PHEV,2022,Charging Point,42671.12
Texas,Passenger Vehicles,EV Stock,Bikes,PHEV,2018,Percent,14861.51
California,Commercial Vehicles,EV Sales,Vans,BEV,2019,Vehicles,7702.25
Arizona,Passenger Vehicles,EV Sales,Cars,PHEV,2021,Percent,43070.99
Texas,Commercial Vehicles,EV Stock,Buses,BEV,2023,Vehicles,30456.62
California,Passenger Vehicles,EV Stock,Bikes,BEV,2022,Charging Point,15725.63
Texas,Commercial Vehicles,EV Stock,Cars,PHEV,2019,Vehicles,30571.38
Arizona,Passenger Vehicles,EV Sales,Vans,PHEV,2019,Percent,3403.22
Arizona,Commercial Vehicles,EV Sales,Buses,BEV,2020,Vehicles,9587.82
Georgia,Passenger Vehicles,EV Stock,Buses,BEV,2021,Percent,27334.83
Nevada,Passenger Vehicles,EV Sales,Bikes,PHEV,2020,Charging Point,27004.5
Illinois,Passenger Vehicles,EV Stock,Buses,PHEV,2020,Percent,12408.76
New York,Commercial Vehicles,EV Sales,Bikes,BEV,2020,Percent,49106.22
New York,Commercial Vehicles,EV Sales,Bikes,PHEV,2020,Charging Point,20680.59
Colorado,Passenger Vehicles,EV Stock,Bikes,BEV,2022,Charging Point,35456.05
Florida,Passenger Vehicles,EV Stock,Buses,PHEV,2021,Vehicles,12997
Colorado,Passenger Vehicles,EV Stock,Bikes,PHEV,2020,Charging Point,21281.42
Florida,Commercial Vehicles,EV Stock,Cars,BEV,2024,Percent,41578.01
Texas,Passenger Vehicles,EV Stock,Vans,BEV,2022,Vehicles,42445.01
Florida,Passenger Vehicles,EV Stock,Vans,PHEV,2024,Charging Point,6849.45
Nevada,Commercial Vehicles,EV Stock,Buses,BEV,2023,Percent,17798.03
Nevada,Commercial Vehicles,EV Stock,Vans,PHEV,2022,Charging Point,10237.21
Illinois,Passenger Vehicles,EV Stock,Vans,PHEV,2019,Percent,44524.4
California,Commercial Vehicles,EV Stock,Cars,BEV,2019,Charging Point,37717.68
New York,Passenger Vehicles,EV Sales,Cars,PHEV,2018,Vehicles,28209.22
Illinois,Commercial Vehicles,EV Stock,Bikes,PHEV,2022,Vehicles,32539.19
Nevada,Commercial Vehicles,EV Sales,Cars,BEV,2024,Vehicles,45716.32
California,Passenger Vehicles,EV Stock,Cars,BEV,2018,Percent,15233.45
Colorado,Commercial Vehicles,EV Sales,Buses,BEV,2022,Vehicles,782.38
New York,Passenger Vehicles,EV Stock,Cars,PHEV,2020,Vehicles,1415.13
Georgia,Commercial Vehicles,EV Stock,Bikes,BEV,2020,Vehicles,2429.7
New York,Passenger Vehicles,EV Stock,Buses,PHEV,2018,Percent,6511.2
Texas,Passenger Vehicles,EV Sales,Vans,BEV,2020,Vehicles,28586.63
Washington,Passenger Vehicles,EV Stock,Vans,PHEV,2020,Vehicles,49056.22
New York,Passenger Vehicles,EV Stock,Bikes,PHEV,2024,Charging Point,21053.88
Nevada,Passenger Vehicles,EV Stock,Bikes,BEV,2019,Percent,35649.58
Texas,Passenger Vehicles,EV Stock,Cars,PHEV,2020,Vehicles,39629.64
Arizona,Passenger Vehicles,EV Stock,Buses,PHEV,2019,Vehicles,40089.71
Florida,Passenger Vehicles,EV Sales,Buses,BEV,2021,Vehicles,22220.48
Colorado,Passenger Vehicles,EV Stock,Buses,PHEV,2022,Charging Point,27542.31
Georgia,Passenger Vehicles,EV Sales,Bikes,PHEV,2019,Charging Point,16504.82
Colorado,Passenger Vehicles,EV Stock,Vans,PHEV,2023,Charging Point,34424.26
Arizona,Passenger Vehicles,EV Stock,Cars,PHEV,2023,Vehicles,19205.09
Washington,Passenger Vehicles,EV Stock,Vans,PHEV,2019,Percent,15622.07
New York,Commercial Vehicles,EV Stock,Buses,PHEV,2019,Percent,31402.43
Illinois,Commercial Vehicles,EV Sales,Vans,BEV,2023,Charging Point,17128.65
Texas,Commercial Vehicles,EV Sales,Cars,BEV,2022,Vehicles,20459.17
Georgia,Commercial Vehicles,EV Stock,Cars,BEV,2022,Percent,35572.6
Arizona,Passenger Vehicles,EV Sales,Cars,PHEV,2022,Vehicles,42681.39
Washington,Passenger Vehicles,EV Sales,Buses,BEV,2023,Charging Point,21796.6
Colorado,Passenger Vehicles,EV Stock,Vans,BEV,2020,Charging Point,26157.78
Arizona,Commercial Vehicles,EV Stock,Bikes,PHEV,2019,Vehicles,37344.49
Georgia,Passenger Vehicles,EV Stock,Buses,BEV,2022,Percent,11324.92
Georgia,Commercial Vehicles,EV Sales,Cars,BEV,2021,Percent,20808.79
Washington,Passenger Vehicles,EV Sales,Bikes,PHEV,2023,Charging Point,40591.71
Colorado,Passenger Vehicles,EV Stock,Buses,BEV,2022,Vehicles,44734.71
Nevada,Passenger Vehicles,EV Stock,Cars,BEV,2024,Charging Point,32280.74
Georgia,Passenger Vehicles,EV Stock,Vans,BEV,2024,Percent,19730.43
Texas,Commercial Vehicles,EV Sales,Bikes,BEV,2018,Vehicles,30335.54
Texas,Passenger Vehicles,EV Sales,Cars,BEV,2018,Vehicles,9024.22
Florida,Commercial Vehicles,EV Stock,Bikes,BEV,2019,Charging Point,1561.86
Colorado,Commercial Vehicles,EV Sales,Vans,PHEV,2019,Vehicles,3823.3
Arizona,Commercial Vehicles,EV Stock,Bikes,PHEV,2019,Vehicles,5497.8
Texas,Passenger Vehicles,EV Sales,Vans,BEV,2024,Vehicles,11360.41
Washington,Commercial Vehicles,EV Sales,Cars,BEV,2024,Vehicles,23140.11
Arizona,Commercial Vehicles,EV Stock,Bikes,BEV,2020,Charging Point,11692.19
Colorado,Commercial Vehicles,EV Sales,Vans,PHEV,2023,Vehicles,29293.09
Washington,Commercial Vehicles,EV Stock,Vans,BEV,2018,Percent,49915.16
New York,Passenger Vehicles,EV Sales,Cars,PHEV,2018,Charging Point,24959.24
California,Passenger Vehicles,EV Stock,Cars,PHEV,2019,Vehicles,37867.08
Texas,Commercial Vehicles,EV Stock,Cars,BEV,2023,Charging Point,14690.84
Texas,Passenger Vehicles,EV Sales,Bikes,PHEV,2018,Percent,48147.7
Florida,Commercial Vehicles,EV Stock,Buses,BEV,2018,Vehicles,12530.36
Nevada,Commercial Vehicles,EV Sales,Cars,PHEV,2020,Vehicles,29871.89
Florida,Commercial Vehicles,EV Stock,Bikes,BEV,2021,Charging Point,49168.2
Colorado,Passenger Vehicles,EV Sales,Cars,BEV,2019,Charging Point,40431.46
Florida,Commercial Vehicles,EV Stock,Bikes,PHEV,2021,Charging Point,49602.46
Nevada,Passenger Vehicles,EV Sales,Vans,BEV,2021,Charging Point,19048.93
Nevada,Commercial Vehicles,EV Sales,Vans,PHEV,2020,Charging Point,3973.81
Georgia,Commercial Vehicles,EV Stock,Vans,BEV,2024,Vehicles,12250.18
Georgia,Commercial Vehicles,EV Stock,Buses,PHEV,2018,Charging Point,47884.91
California,Commercial Vehicles,EV Sales,Bikes,BEV,2019,Charging Point,18591.84
Washington,Commercial Vehicles,EV Stock,Buses,BEV,2022,Charging Point,6326.2
New York,Passenger Vehicles,EV Sales,Cars,BEV,2024,Percent,29695.93
Nevada,Commercial Vehicles,EV Sales,Vans,PHEV,2021,Vehicles,25071.14
New York,Passenger Vehicles,EV Sales,Vans,PHEV,2023,Charging Point,3217.21
Texas,Passenger Vehicles,EV Sales,Vans,BEV,2021,Vehicles,22701.99
Illinois,Passenger Vehicles,EV Sales,Buses,BEV,2020,Vehicles,31680.15
California,Commercial Vehicles,EV Sales,Cars,BEV,2021,Charging Point,11711.13
Colorado,Commercial Vehicles,EV Sales,Buses,PHEV,2021,Percent,6309.59
Arizona,Passenger Vehicles,EV Stock,Vans,BEV,2021,Percent,43253.36
New York,Passenger Vehicles,EV Stock,Buses,BEV,2020,Vehicles,31309.86
Florida,Passenger Vehicles,EV Sales,Cars,BEV,2018,Charging Point,7847.32
Nevada,Commercial Vehicles,EV Sales,Cars,PHEV,2023,Vehicles,31492.49
New York,Passenger Vehicles,EV Stock,Vans,BEV,2021,Vehicles,36789.27
Arizona,Commercial Vehicles,EV Stock,Buses,BEV,2019,Charging Point,29916.65
Nevada,Passenger Vehicles,EV Sales,Vans,PHEV,2023,Percent,5896.22
Colorado,Passenger Vehicles,EV Stock,Vans,BEV,2021,Vehicles,6324.76
Illinois,Commercial Vehicles,EV Stock,Cars,PHEV,2021,Vehicles,2352.73
Florida,Commercial Vehicles,EV Sales,Vans,PHEV,2019,Vehicles,11776.8
New York,Passenger Vehicles,EV Sales,Vans,PHEV,2020,Vehicles,3076.49
Georgia,Commercial Vehicles,EV Stock,Cars,PHEV,2022,Vehicles,40284.64
California,Passenger Vehicles,EV Stock,Buses,PHEV,2019,Charging Point,868.74
New York,Commercial Vehicles,EV Stock,Buses,BEV,2024,Percent,29092.75
New York,Commercial Vehicles,EV Sales,Buses,BEV,2022,Charging Point,40510.69
Arizona,Passenger Vehicles,EV Sales,Cars,BEV,2018,Charging Point,44753.66
Arizona,Passenger Vehicles,EV Stock,Vans,BEV,2018,Charging Point,20531.81
California,Passenger Vehicles,EV Stock,Buses,BEV,2021,Percent,31084.12
New York,Commercial Vehicles,EV Stock,Cars,BEV,2023,Charging Point,47563.24
Washington,Commercial Vehicles,EV Stock,Bikes,BEV,2021,Percent,33613.36
Colorado,Passenger Vehicles,EV Sales,Buses,BEV,2020,Vehicles,45064.51
Arizona,Passenger Vehicles,EV Sales,Buses,PHEV,2022,Vehicles,34246.17
Arizona,Passenger Vehicles,EV Sales,Buses,BEV,2018,Charging Point,3493.06
Washington,Commercial Vehicles,EV Stock,Vans,BEV,2018,Vehicles,9924.46
Nevada,Passenger Vehicles,EV Stock,Bikes,PHEV,2021,Vehicles,47028.51
New York,Commercial Vehicles,EV Stock,Cars,BEV,2021,Vehicles,42229.02
California,Passenger Vehicles,EV Sales,Buses,PHEV,2020,Charging Point,21193.82
Arizona,Passenger Vehicles,EV Sales,Buses,BEV,2021,Charging Point,8140.17
California,Commercial Vehicles,EV Stock,Cars,BEV,2024,Percent,7942.8
California,Passenger Vehicles,EV Sales,Cars,PHEV,2023,Vehicles,45252.61
Colorado,Commercial Vehicles,EV Sales,Cars,BEV,2021,Charging Point,8393.77
Georgia,Passenger Vehicles,EV Sales,Cars,PHEV,2023,Vehicles,19375.37
Arizona,Commercial Vehicles,EV Sales,Bikes,PHEV,2024,Charging Point,45050.13
Florida,Commercial Vehicles,EV Stock,Cars,PHEV,2023,Percent,1768.3
Nevada,Commercial Vehicles,EV Stock,Vans,BEV,2020,Percent,31573.98
California,Passenger Vehicles,EV Sales,Cars,PHEV,2021,Charging Point,17594.72
Arizona,Passenger Vehicles,EV Sales,Buses,PHEV,2023,Vehicles,5478.39
Nevada,Passenger Vehicles,EV Stock,Vans,BEV,2023,Percent,28419.44
Florida,Commercial Vehicles,EV Sales,Buses,PHEV,2024,Charging Point,24296.57
Arizona,Commercial Vehicles,EV Sales,Vans,PHEV,2021,Percent,5050.16
New York,Passenger Vehicles,EV Stock,Cars,BEV,2021,Charging Point,13433.84
California,Passenger Vehicles,EV Stock,Vans,BEV,2022,Percent,37043.77
Florida,Commercial Vehicles,EV Stock,Buses,BEV,2018,Charging Point,37816.93
New York,Passenger Vehicles,EV Sales,Bikes,PHEV,2019,Percent,29974.27
California,Commercial Vehicles,EV Stock,Vans,PHEV,2018,Percent,5613.31
Texas,Passenger Vehicles,EV Sales,Vans,BEV,2022,Charging Point,42669.28
Illinois,Passenger Vehicles,EV Stock,Cars,PHEV,2019,Percent,8717.93
Washington,Passenger Vehicles,EV Sales,Buses,PHEV,2018,Charging Point,36074.83
California,Commercial Vehicles,EV Sales,Bikes,BEV,2020,Percent,2224.95
Florida,Passenger Vehicles,EV Sales,Vans,BEV,2024,Percent,16658.31
Florida,Passenger Vehicles,EV Stock,Buses,BEV,2022,Charging Point,23970.24
Illinois,Commercial Vehicles,EV Stock,Vans,PHEV,2020,Percent,1495.41
Arizona,Passenger Vehicles,EV Stock,Bikes,BEV,2020,Percent,8660.53
Washington,Commercial Vehicles,EV Sales,Buses,PHEV,2018,Charging Point,16013.62
Nevada,Passenger Vehicles,EV Sales,Bikes,BEV,2024,Vehicles,49127.12
California,Passenger Vehicles,EV Sales,Buses,PHEV,2023,Charging Point,38995.84
Arizona,Commercial Vehicles,EV Stock,Buses,BEV,2019,Vehicles,42050.75
New York,Commercial Vehicles,EV Stock,Cars,PHEV,2023,Percent,33409.09
Nevada,Commercial Vehicles,EV Stock,Cars,PHEV,2021,Vehicles,14690.49
Washington,Passenger Vehicles,EV Stock,Buses,PHEV,2021,Vehicles,35501.45
Arizona,Commercial Vehicles,EV Sales,Buses,PHEV,2022,Charging Point,33719.67
Georgia,Commercial Vehicles,EV Sales,Cars,PHEV,2020,Vehicles,30536.56
Nevada,Passenger Vehicles,EV Sales,Vans,PHEV,2022,Vehicles,14986.24
Colorado,Passenger Vehicles,EV Stock,Buses,PHEV,2018,Percent,13234.4
Colorado,Passenger Vehicles,EV Sales,Bikes,BEV,2024,Charging Point,16881.33
California,Passenger Vehicles,EV Sales,Buses,PHEV,2024,Charging Point,15688.61
California,Commercial Vehicles,EV Sales,Cars,PHEV,2020,Vehicles,3983.85
California,Passenger Vehicles,EV Stock,Vans,PHEV,2021,Percent,40133.67
Washington,Passenger Vehicles,EV Sales,Buses,PHEV,2018,Charging Point,18525.93
Georgia,Commercial Vehicles,EV Stock,Buses,PHEV,2018,Percent,35361.18
Arizona,Passenger Vehicles,EV Sales,Buses,BEV,2023,Vehicles,14068.23
