region,category,parameter,mode,powertrain,year,unit,value,total_vehicles_sold
Georgia,Passenger Vehicles,EV Stock,Bikes,PHEV,2018,Charging Point,33391.65,458
New York,Commercial Vehicles,EV Stock,Buses,PHEV,2020,Vehicles,35494.59,452
Florida,Passenger Vehicles,EV Stock,Bikes,PHEV,2019,Percent,14058.21,489
Colorado,Commercial Vehicles,EV Stock,Vans,BEV,2023,Vehicles,15278.39,408
New York,Passenger Vehicles,EV Stock,Buses,PHEV,2024,Vehicles,35344.4,540
Nevada,Commercial Vehicles,EV Sales,Buses,BEV,2019,Percent,8836.29,355
Nevada,Commercial Vehicles,EV Sales,Cars,BEV,2018,Vehicles,42934.83,455
Arizona,Commercial Vehicles,EV Sales,Bikes,BEV,2018,Vehicles,11222.48,345
Colorado,Commercial Vehicles,EV Stock,Vans,BEV,2018,Vehicles,17623.51,478
Arizona,Passenger Vehicles,EV Sales,Cars,BEV,2024,Percent,13406.26,351
California,Passenger Vehicles,EV Sales,Buses,PHEV,2019,Vehicles,12340.36,454
Washington,Commercial Vehicles,EV Stock,Buses,BEV,2022,Percent,48945.43,394
Illinois,Commercial Vehicles,EV Stock,Buses,PHEV,2021,Vehicles,12740.89,400
Colorado,Commercial Vehicles,EV Stock,Buses,PHEV,2023,Vehicles,28958.62,270
Georgia,Commercial Vehicles,EV Stock,Cars,PHEV,2023,Percent,37294.53,384
Illinois,Commercial Vehicles,EV Stock,Bikes,BEV,2021,Percent,2194.53,371
Illinois,Commercial Vehicles,EV Sales,Bikes,BEV,2023,Vehicles,44090.44,460
Texas,Passenger Vehicles,EV Sales,Cars,PHEV,2018,Vehicles,7729.17,390
New York,Passenger Vehicles,EV Sales,Cars,PHEV,2023,Charging Point,29444.48,455
Georgia,Commercial Vehicles,EV Sales,Vans,PHEV,2022,Vehicles,32092.29,380
Colorado,Passenger Vehicles,EV Stock,Bikes,PHEV,2022,Percent,31515.34,461
Arizona,Passenger Vehicles,EV Stock,Bikes,PHEV,2018,Vehicles,36698.96,421
California,Passenger Vehicles,EV Sales,Buses,BEV,2020,Charging Point,46568.75,429
New York,Commercial Vehicles,EV Stock,Bikes,PHEV,2019,Vehicles,46351.71,446
Texas,Commercial Vehicles,EV Sales,Vans,PHEV,2024,Charging Point,28946.09,409
California,Commercial Vehicles,EV Stock,Buses,PHEV,2020,Percent,18558.95,439
Colorado,Commercial Vehicles,EV Stock,Cars,PHEV,2024,Percent,16143.08,394
Washington,Passenger Vehicles,EV Stock,Buses,BEV,2024,Vehicles,44345.69,421
Illinois,Commercial Vehicles,EV Sales,Buses,PHEV,2022,Charging Point,42671.12,443
Texas,Passenger Vehicles,EV Stock,Bikes,PHEV,2018,Percent,14861.51,581
California,Commercial Vehicles,EV Sales,Vans,BEV,2019,Vehicles,7702.25,371
Arizona,Passenger Vehicles,EV Sales,Cars,PHEV,2021,Percent,43070.99,340
Texas,Commercial Vehicles,EV Stock,Buses,BEV,2023,Vehicles,30456.62,431
California,Passenger Vehicles,EV Stock,Bikes,BEV,2022,Charging Point,15725.63,411
Texas,Commercial Vehicles,EV Stock,Cars,PHEV,2019,Vehicles,30571.38,274
Arizona,Passenger Vehicles,EV Sales,Vans,PHEV,2019,Percent,3403.22,288
Arizona,Commercial Vehicles,EV Sales,Buses,BEV,2020,Vehicles,9587.82,470
Georgia,Passenger Vehicles,EV Stock,Buses,BEV,2021,Percent,27334.83,420
Nevada,Passenger Vehicles,EV Sales,Bikes,PHEV,2020,Charging Point,27004.5,324
Illinois,Passenger Vehicles,EV Stock,Buses,PHEV,2020,Percent,12408.76,364
New York,Commercial Vehicles,EV Sales,Bikes,BEV,2020,Percent,49106.22,454
New York,Commercial Vehicles,EV Sales,Bikes,PHEV,2020,Charging Point,20680.59,505
Colorado,Passenger Vehicles,EV Stock,Bikes,BEV,2022,Charging Point,35456.05,465
Florida,Passenger Vehicles,EV Stock,Buses,PHEV,2021,Vehicles,12997,439
Colorado,Passenger Vehicles,EV Stock,Bikes,PHEV,2020,Charging Point,21281.42,507
Florida,Commercial Vehicles,EV Stock,Cars,BEV,2024,Percent,41578.01,448
Texas,Passenger Vehicles,EV Stock,Vans,BEV,2022,Vehicles,42445.01,517
Florida,Passenger Vehicles,EV Stock,Vans,PHEV,2024,Charging Point,6849.45,457
Nevada,Commercial Vehicles,EV Stock,Buses,BEV,2023,Percent,17798.03,423
Nevada,Commercial Vehicles,EV Stock,Vans,PHEV,2022,Charging Point,10237.21,371
Illinois,Passenger Vehicles,EV Stock,Vans,PHEV,2019,Percent,44524.4,465
California,Commercial Vehicles,EV Stock,Cars,BEV,2019,Charging Point,37717.68,460
New York,Passenger Vehicles,EV Sales,Cars,PHEV,2018,Vehicles,28209.22,546
Illinois,Commercial Vehicles,EV Stock,Bikes,PHEV,2022,Vehicles,32539.19,509
Nevada,Commercial Vehicles,EV Sales,Cars,BEV,2024,Vehicles,45716.32,398
California,Passenger Vehicles,EV Stock,Cars,BEV,2018,Percent,15233.45,389
Colorado,Commercial Vehicles,EV Sales,Buses,BEV,2022,Vehicles,782.38,470
New York,Passenger Vehicles,EV Stock,Cars,PHEV,2020,Vehicles,1415.13,403
Georgia,Commercial Vehicles,EV Stock,Bikes,BEV,2020,Vehicles,2429.7,365
New York,Passenger Vehicles,EV Stock,Buses,PHEV,2018,Percent,6511.2,318
Texas,Passenger Vehicles,EV Sales,Vans,BEV,2020,Vehicles,28586.63,509
Washington,Passenger Vehicles,EV Stock,Vans,PHEV,2020,Vehicles,49056.22,422
New York,Passenger Vehicles,EV Stock,Bikes,PHEV,2024,Charging Point,21053.88,408
Nevada,Passenger Vehicles,EV Stock,Bikes,BEV,2019,Percent,35649.58,375
Texas,Passenger Vehicles,EV Stock,Cars,PHEV,2020,Vehicles,39629.64,399
Arizona,Passenger Vehicles,EV Stock,Buses,PHEV,2019,Vehicles,40089.71,455
Florida,Passenger Vehicles,EV Sales,Buses,BEV,2021,Vehicles,22220.48,515
Colorado,Passenger Vehicles,EV Stock,Buses,PHEV,2022,Charging Point,27542.31,1256
Georgia,Passenger Vehicles,EV Sales,Bikes,PHEV,2019,Charging Point,16504.82,724
Colorado,Passenger Vehicles,EV Stock,Vans,PHEV,2023,Charging Point,34424.26,6576
Arizona,Passenger Vehicles,EV Stock,Cars,PHEV,2023,Vehicles,19205.09,1563
Washington,Passenger Vehicles,EV Stock,Vans,PHEV,2019,Percent,15622.07,278
New York,Commercial Vehicles,EV Stock,Buses,PHEV,2019,Percent,31402.43,5107
Illinois,Commercial Vehicles,EV Sales,Vans,BEV,2023,Charging Point,17128.65,2
Texas,Commercial Vehicles,EV Sales,Cars,BEV,2022,Vehicles,20459.17,20
Georgia,Commercial Vehicles,EV Stock,Cars,BEV,2022,Percent,35572.6,808
Arizona,Passenger Vehicles,EV Sales,Cars,PHEV,2022,Vehicles,42681.39,1189
Washington,Passenger Vehicles,EV Sales,Buses,BEV,2023,Charging Point,21796.6,1507
Colorado,Passenger Vehicles,EV Stock,Vans,BEV,2020,Charging Point,26157.78,281
Arizona,Commercial Vehicles,EV Stock,Bikes,PHEV,2019,Vehicles,37344.49,561
Georgia,Passenger Vehicles,EV Stock,Buses,BEV,2022,Percent,11324.92,747
Georgia,Commercial Vehicles,EV Sales,Cars,BEV,2021,Percent,20808.79,655
Washington,Passenger Vehicles,EV Sales,Bikes,PHEV,2023,Charging Point,40591.71,2906
Colorado,Passenger Vehicles,EV Stock,Buses,BEV,2022,Vehicles,44734.71,289
Nevada,Passenger Vehicles,EV Stock,Cars,BEV,2024,Charging Point,32280.74,4
Georgia,Passenger Vehicles,EV Stock,Vans,BEV,2024,Percent,19730.43,1
Texas,Commercial Vehicles,EV Sales,Bikes,BEV,2018,Vehicles,30335.54,552
Texas,Passenger Vehicles,EV Sales,Cars,BEV,2018,Vehicles,9024.22,302
Florida,Commercial Vehicles,EV Stock,Bikes,BEV,2019,Charging Point,1561.86,14723
Colorado,Commercial Vehicles,EV Sales,Vans,PHEV,2019,Vehicles,3823.3,3295
Arizona,Commercial Vehicles,EV Stock,Bikes,PHEV,2019,Vehicles,5497.8,2249
Texas,Passenger Vehicles,EV Sales,Vans,BEV,2024,Vehicles,11360.41,411
Washington,Commercial Vehicles,EV Sales,Cars,BEV,2024,Vehicles,23140.11,1387
Arizona,Commercial Vehicles,EV Stock,Bikes,BEV,2020,Charging Point,11692.19,452
Colorado,Commercial Vehicles,EV Sales,Vans,PHEV,2023,Vehicles,29293.09,202
Washington,Commercial Vehicles,EV Stock,Vans,BEV,2018,Percent,49915.16,22
New York,Passenger Vehicles,EV Sales,Cars,PHEV,2018,Charging Point,24959.24,21
California,Passenger Vehicles,EV Stock,Cars,PHEV,2019,Vehicles,37867.08,2372
Texas,Commercial Vehicles,EV Stock,Cars,BEV,2023,Charging Point,14690.84,11
Texas,Passenger Vehicles,EV Sales,Bikes,PHEV,2018,Percent,48147.7,70
Florida,Commercial Vehicles,EV Stock,Buses,BEV,2018,Vehicles,12530.36,195
Nevada,Commercial Vehicles,EV Sales,Cars,PHEV,2020,Vehicles,29871.89,288
Florida,Commercial Vehicles,EV Stock,Bikes,BEV,2021,Charging Point,49168.2,9
Colorado,Passenger Vehicles,EV Sales,Cars,BEV,2019,Charging Point,40431.46,332
Florida,Commercial Vehicles,EV Stock,Bikes,PHEV,2021,Charging Point,49602.46,15
Nevada,Passenger Vehicles,EV Sales,Vans,BEV,2021,Charging Point,19048.93,4
Nevada,Commercial Vehicles,EV Sales,Vans,PHEV,2020,Charging Point,3973.81,125
Georgia,Commercial Vehicles,EV Stock,Vans,BEV,2024,Vehicles,12250.18,126
Georgia,Commercial Vehicles,EV Stock,Buses,PHEV,2018,Charging Point,47884.91,722
California,Commercial Vehicles,EV Sales,Bikes,BEV,2019,Charging Point,18591.84,5202
Washington,Commercial Vehicles,EV Stock,Buses,BEV,2022,Charging Point,6326.2,2063
New York,Passenger Vehicles,EV Sales,Cars,BEV,2024,Percent,29695.93,192
Nevada,Commercial Vehicles,EV Sales,Vans,PHEV,2021,Vehicles,25071.14,1145
New York,Passenger Vehicles,EV Sales,Vans,PHEV,2023,Charging Point,3217.21,2
Texas,Passenger Vehicles,EV Sales,Vans,BEV,2021,Vehicles,22701.99,727
Illinois,Passenger Vehicles,EV Sales,Buses,BEV,2020,Vehicles,31680.15,565
California,Commercial Vehicles,EV Sales,Cars,BEV,2021,Charging Point,11711.13,3
Colorado,Commercial Vehicles,EV Sales,Buses,PHEV,2021,Percent,6309.59,112
Arizona,Passenger Vehicles,EV Stock,Vans,BEV,2021,Percent,43253.36,89
New York,Passenger Vehicles,EV Stock,Buses,BEV,2020,Vehicles,31309.86,18
Florida,Passenger Vehicles,EV Sales,Cars,BEV,2018,Charging Point,7847.32,354
Nevada,Commercial Vehicles,EV Sales,Cars,PHEV,2023,Vehicles,31492.49,246
New York,Passenger Vehicles,EV Stock,Vans,BEV,2021,Vehicles,36789.27,648
Arizona,Commercial Vehicles,EV Stock,Buses,BEV,2019,Charging Point,29916.65,298
Nevada,Passenger Vehicles,EV Sales,Vans,PHEV,2023,Percent,5896.22,42
Colorado,Passenger Vehicles,EV Stock,Vans,BEV,2021,Vehicles,6324.76,54
Illinois,Commercial Vehicles,EV Stock,Cars,PHEV,2021,Vehicles,2352.73,445
Florida,Commercial Vehicles,EV Sales,Vans,PHEV,2019,Vehicles,11776.8,185
New York,Passenger Vehicles,EV Sales,Vans,PHEV,2020,Vehicles,3076.49,467
Georgia,Commercial Vehicles,EV Stock,Cars,PHEV,2022,Vehicles,40284.64,994
California,Passenger Vehicles,EV Stock,Buses,PHEV,2019,Charging Point,868.74,661
New York,Commercial Vehicles,EV Stock,Buses,BEV,2024,Percent,29092.75,4988
New York,Commercial Vehicles,EV Sales,Buses,BEV,2022,Charging Point,40510.69,276
Arizona,Passenger Vehicles,EV Sales,Cars,BEV,2018,Charging Point,44753.66,51
Arizona,Passenger Vehicles,EV Stock,Vans,BEV,2018,Charging Point,20531.81,552
California,Passenger Vehicles,EV Stock,Buses,BEV,2021,Percent,31084.12,474
New York,Commercial Vehicles,EV Stock,Cars,BEV,2023,Charging Point,47563.24,68
Washington,Commercial Vehicles,EV Stock,Bikes,BEV,2021,Percent,33613.36,726
Colorado,Passenger Vehicles,EV Sales,Buses,BEV,2020,Vehicles,45064.51,1096
Arizona,Passenger Vehicles,EV Sales,Buses,PHEV,2022,Vehicles,34246.17,219
Arizona,Passenger Vehicles,EV Sales,Buses,BEV,2018,Charging Point,3493.06,583
Washington,Commercial Vehicles,EV Stock,Vans,BEV,2018,Vehicles,9924.46,1039
Nevada,Passenger Vehicles,EV Stock,Bikes,PHEV,2021,Vehicles,47028.51,866
New York,Commercial Vehicles,EV Stock,Cars,BEV,2021,Vehicles,42229.02,2211
California,Passenger Vehicles,EV Sales,Buses,PHEV,2020,Charging Point,21193.82,352
Arizona,Passenger Vehicles,EV Sales,Buses,BEV,2021,Charging Point,8140.17,406
California,Commercial Vehicles,EV Stock,Cars,BEV,2024,Percent,7942.8,1126
California,Passenger Vehicles,EV Sales,Cars,PHEV,2023,Vehicles,45252.61,758
Colorado,Commercial Vehicles,EV Sales,Cars,BEV,2021,Charging Point,8393.77,321
Georgia,Passenger Vehicles,EV Sales,Cars,PHEV,2023,Vehicles,19375.37,3641
Arizona,Commercial Vehicles,EV Sales,Bikes,PHEV,2024,Charging Point,45050.13,5430
Florida,Commercial Vehicles,EV Stock,Cars,PHEV,2023,Percent,1768.3,30
Nevada,Commercial Vehicles,EV Stock,Vans,BEV,2020,Percent,31573.98,459
California,Passenger Vehicles,EV Sales,Cars,PHEV,2021,Charging Point,17594.72,1016
Arizona,Passenger Vehicles,EV Sales,Buses,PHEV,2023,Vehicles,5478.39,561
Nevada,Passenger Vehicles,EV Stock,Vans,BEV,2023,Percent,28419.44,1041
Florida,Commercial Vehicles,EV Sales,Buses,PHEV,2024,Charging Point,24296.57,826
Arizona,Commercial Vehicles,EV Sales,Vans,PHEV,2021,Percent,5050.16,1057
New York,Passenger Vehicles,EV Stock,Cars,BEV,2021,Charging Point,13433.84,240
California,Passenger Vehicles,EV Stock,Vans,BEV,2022,Percent,37043.77,577
Florida,Commercial Vehicles,EV Stock,Buses,BEV,2018,Charging Point,37816.93,763
New York,Passenger Vehicles,EV Sales,Bikes,PHEV,2019,Percent,29974.27,2462
California,Commercial Vehicles,EV Stock,Vans,PHEV,2018,Percent,5613.31,462
Texas,Passenger Vehicles,EV Sales,Vans,BEV,2022,Charging Point,42669.28,329
Illinois,Passenger Vehicles,EV Stock,Cars,PHEV,2019,Percent,8717.93,87
Washington,Passenger Vehicles,EV Sales,Buses,PHEV,2018,Charging Point,36074.83,1260
California,Commercial Vehicles,EV Sales,Bikes,BEV,2020,Percent,2224.95,637
Florida,Passenger Vehicles,EV Sales,Vans,BEV,2024,Percent,16658.31,6036
Florida,Passenger Vehicles,EV Stock,Buses,BEV,2022,Charging Point,23970.24,348
Illinois,Commercial Vehicles,EV Stock,Vans,PHEV,2020,Percent,1495.41,26
Arizona,Passenger Vehicles,EV Stock,Bikes,BEV,2020,Percent,8660.53,444
Washington,Commercial Vehicles,EV Sales,Buses,PHEV,2018,Charging Point,16013.62,3492
Nevada,Passenger Vehicles,EV Sales,Bikes,BEV,2024,Vehicles,49127.12,1202
California,Passenger Vehicles,EV Sales,Buses,PHEV,2023,Charging Point,38995.84,1396
Arizona,Commercial Vehicles,EV Stock,Buses,BEV,2019,Vehicles,42050.75,905
New York,Commercial Vehicles,EV Stock,Cars,PHEV,2023,Percent,33409.09,1465
Nevada,Commercial Vehicles,EV Stock,Cars,PHEV,2021,Vehicles,14690.49,264
Washington,Passenger Vehicles,EV Stock,Buses,PHEV,2021,Vehicles,35501.45,681
Arizona,Commercial Vehicles,EV Sales,Buses,PHEV,2022,Charging Point,33719.67,2736
Georgia,Commercial Vehicles,EV Sales,Cars,PHEV,2020,Vehicles,30536.56,403
Nevada,Passenger Vehicles,EV Sales,Vans,PHEV,2022,Vehicles,14986.24,360
Colorado,Passenger Vehicles,EV Stock,Buses,PHEV,2018,Percent,13234.4,1109
Colorado,Passenger Vehicles,EV Sales,Bikes,BEV,2024,Charging Point,16881.33,570
California,Passenger Vehicles,EV Sales,Buses,PHEV,2024,Charging Point,15688.61,5877
California,Commercial Vehicles,EV Sales,Cars,PHEV,2020,Vehicles,3983.85,289
California,Passenger Vehicles,EV Stock,Vans,PHEV,2021,Percent,40133.67,916
Washington,Passenger Vehicles,EV Sales,Buses,PHEV,2018,Charging Point,18525.93,1414
Georgia,Commercial Vehicles,EV Stock,Buses,PHEV,2018,Percent,35361.18,722
Arizona,Passenger Vehicles,EV Sales,Buses,BEV,2023,Vehicles,14068.23,1886
New York,Commercial Vehicles,EV Sales,Buses,BEV,2022,Vehicles,30140.61,283
Texas,Passenger Vehicles,EV Stock,Bikes,BEV,2024,Charging Point,1830.21,650
Florida,Commercial Vehicles,EV Sales,Bikes,PHEV,2022,Vehicles,5391.31,567
New York,Commercial Vehicles,EV Sales,Bikes,PHEV,2023,Percent,18290.03,609
Arizona,Commercial Vehicles,EV Stock,Cars,PHEV,2024,Percent,13509.97,3015
Georgia,Commercial Vehicles,EV Stock,Vans,BEV,2019,Vehicles,17734.82,366
Washington,Commercial Vehicles,EV Sales,Bikes,BEV,2021,Vehicles,46541.54,413
Nevada,Passenger Vehicles,EV Sales,Bikes,BEV,2021,Percent,3787.65,125
New York,Passenger Vehicles,EV Sales,Bikes,PHEV,2022,Vehicles,23190.27,1262
Nevada,Passenger Vehicles,EV Sales,Vans,PHEV,2021,Vehicles,9993.01,646
Texas,Passenger Vehicles,EV Sales,Buses,PHEV,2021,Vehicles,17856.34,5618
Arizona,Commercial Vehicles,EV Stock,Vans,PHEV,2018,Percent,33884.04,330
Georgia,Passenger Vehicles,EV Stock,Bikes,BEV,2023,Vehicles,48649.66,4496
Arizona,Passenger Vehicles,EV Stock,Vans,BEV,2023,Percent,34766.91,4709
Florida,Commercial Vehicles,EV Stock,Bikes,BEV,2020,Charging Point,44253.74,28
Washington,Commercial Vehicles,EV Stock,Vans,BEV,2020,Vehicles,7448.21,287
Florida,Passenger Vehicles,EV Sales,Buses,BEV,2019,Vehicles,9151.44,875
Arizona,Passenger Vehicles,EV Stock,Vans,PHEV,2020,Vehicles,43850.75,1442
Florida,Passenger Vehicles,EV Stock,Vans,BEV,2023,Charging Point,30415.36,806
Illinois,Commercial Vehicles,EV Sales,Bikes,PHEV,2021,Vehicles,39626.76,1820
Arizona,Passenger Vehicles,EV Sales,Buses,PHEV,2023,Percent,11220.7,328
Georgia,Passenger Vehicles,EV Sales,Bikes,BEV,2018,Vehicles,17494.89,592
New York,Commercial Vehicles,EV Sales,Cars,BEV,2023,Percent,4143.62,692
Georgia,Passenger Vehicles,EV Stock,Cars,PHEV,2020,Percent,44789.71,3843
Illinois,Passenger Vehicles,EV Sales,Cars,PHEV,2021,Percent,47822.14,326
New York,Commercial Vehicles,EV Sales,Bikes,PHEV,2023,Percent,42887.45,376
Illinois,Passenger Vehicles,EV Sales,Bikes,PHEV,2021,Percent,21915.3,1036
New York,Passenger Vehicles,EV Stock,Cars,BEV,2022,Vehicles,17122.62,709
Georgia,Commercial Vehicles,EV Sales,Vans,PHEV,2024,Vehicles,23183.78,5306
Arizona,Passenger Vehicles,EV Stock,Buses,BEV,2023,Vehicles,31917.11,15
California,Passenger Vehicles,EV Stock,Cars,BEV,2022,Percent,21632.22,167
Colorado,Passenger Vehicles,EV Sales,Buses,BEV,2020,Charging Point,21138.85,849
Colorado,Commercial Vehicles,EV Stock,Cars,BEV,2022,Vehicles,21608.85,1101
Illinois,Passenger Vehicles,EV Stock,Vans,PHEV,2021,Vehicles,37254.4,888
Colorado,Commercial Vehicles,EV Stock,Buses,PHEV,2021,Vehicles,39360.86,1740
Georgia,Commercial Vehicles,EV Sales,Bikes,BEV,2022,Percent,43539.86,376
Nevada,Passenger Vehicles,EV Sales,Cars,PHEV,2024,Vehicles,12225.06,353
Illinois,Commercial Vehicles,EV Stock,Vans,BEV,2018,Percent,7959.49,540
New York,Commercial Vehicles,EV Sales,Vans,BEV,2022,Vehicles,17321.88,352
Washington,Passenger Vehicles,EV Stock,Vans,PHEV,2018,Vehicles,21080.36,336
Florida,Commercial Vehicles,EV Stock,Cars,PHEV,2024,Percent,35123.2,90
Georgia,Commercial Vehicles,EV Stock,Buses,PHEV,2022,Percent,37920.73,950
New York,Commercial Vehicles,EV Sales,Cars,PHEV,2021,Vehicles,49209.23,766
Nevada,Passenger Vehicles,EV Sales,Vans,BEV,2023,Percent,18973.31,5550
Washington,Commercial Vehicles,EV Sales,Vans,BEV,2021,Percent,20185.74,358
Colorado,Commercial Vehicles,EV Sales,Bikes,BEV,2022,Percent,27149.79,3963
Nevada,Passenger Vehicles,EV Sales,Cars,PHEV,2019,Charging Point,41034.74,150
Illinois,Commercial Vehicles,EV Sales,Buses,PHEV,2018,Percent,33080.61,687
Texas,Passenger Vehicles,EV Stock,Cars,BEV,2019,Percent,28675.71,1112
Texas,Passenger Vehicles,EV Stock,Buses,PHEV,2021,Charging Point,32441.29,1063
Colorado,Passenger Vehicles,EV Sales,Buses,BEV,2024,Percent,23276.07,1387
Texas,Passenger Vehicles,EV Sales,Bikes,BEV,2018,Charging Point,37976.77,311
Texas,Passenger Vehicles,EV Sales,Cars,BEV,2023,Vehicles,3857.26,410
New York,Passenger Vehicles,EV Stock,Buses,PHEV,2024,Vehicles,25500.3,722
New York,Passenger Vehicles,EV Sales,Buses,PHEV,2022,Vehicles,40348.22,758
Florida,Commercial Vehicles,EV Stock,Bikes,BEV,2018,Percent,15195.7,394
Arizona,Commercial Vehicles,EV Sales,Vans,PHEV,2018,Charging Point,42186.46,388
Colorado,Commercial Vehicles,EV Sales,Bikes,PHEV,2024,Vehicles,39163.33,112
Texas,Passenger Vehicles,EV Sales,Vans,PHEV,2020,Percent,29075.39,858
Florida,Passenger Vehicles,EV Stock,Vans,BEV,2023,Vehicles,12682.21,671
Colorado,Passenger Vehicles,EV Sales,Bikes,PHEV,2018,Vehicles,43067.6,15
Texas,Commercial Vehicles,EV Stock,Vans,PHEV,2023,Vehicles,1595.45,44
Georgia,Passenger Vehicles,EV Sales,Buses,PHEV,2021,Percent,29666.41,834
California,Passenger Vehicles,EV Stock,Buses,BEV,2023,Charging Point,39149.98,1145
Georgia,Passenger Vehicles,EV Stock,Vans,BEV,2019,Charging Point,24321.6,1599
Washington,Commercial Vehicles,EV Sales,Cars,BEV,2019,Charging Point,5232.52,354
Colorado,Passenger Vehicles,EV Stock,Vans,PHEV,2023,Charging Point,41715.68,504
Arizona,Passenger Vehicles,EV Sales,Cars,BEV,2022,Percent,45463.49,773
Washington,Passenger Vehicles,EV Sales,Cars,PHEV,2020,Percent,28209.15,622
Florida,Commercial Vehicles,EV Sales,Vans,BEV,2019,Percent,39379.02,340
Florida,Commercial Vehicles,EV Sales,Bikes,PHEV,2024,Vehicles,30574.67,383
Texas,Commercial Vehicles,EV Stock,Cars,BEV,2019,Charging Point,28706.82,1111
Washington,Passenger Vehicles,EV Stock,Cars,BEV,2018,Percent,6625.52,679
Texas,Passenger Vehicles,EV Stock,Vans,PHEV,2023,Vehicles,21895.95,49
Colorado,Passenger Vehicles,EV Sales,Buses,BEV,2021,Vehicles,33971.81,49
Florida,Commercial Vehicles,EV Stock,Bikes,PHEV,2023,Vehicles,22778.7,717
California,Passenger Vehicles,EV Sales,Cars,PHEV,2023,Charging Point,30926.45,1687
Florida,Passenger Vehicles,EV Stock,Vans,PHEV,2021,Percent,44750.95,1104
New York,Passenger Vehicles,EV Stock,Buses,PHEV,2022,Vehicles,18374.46,1848
Nevada,Commercial Vehicles,EV Stock,Bikes,PHEV,2021,Percent,41441.48,413
Arizona,Passenger Vehicles,EV Stock,Bikes,PHEV,2019,Vehicles,1549.35,541
Washington,Commercial Vehicles,EV Stock,Bikes,BEV,2018,Vehicles,42647.85,632
Texas,Commercial Vehicles,EV Stock,Bikes,BEV,2021,Percent,5423.2,484
Nevada,Passenger Vehicles,EV Sales,Buses,BEV,2020,Vehicles,16139.89,407
Nevada,Passenger Vehicles,EV Stock,Buses,BEV,2020,Vehicles,25720.89,1063
Georgia,Commercial Vehicles,EV Sales,Bikes,BEV,2020,Vehicles,32536.75,824
Illinois,Commercial Vehicles,EV Sales,Buses,BEV,2021,Charging Point,47660.29,351
Georgia,Passenger Vehicles,EV Stock,Buses,PHEV,2018,Vehicles,15420.82,105
Georgia,Commercial Vehicles,EV Stock,Cars,PHEV,2021,Charging Point,4358.9,1530
Arizona,Passenger Vehicles,EV Sales,Bikes,PHEV,2019,Charging Point,22995.9,323
New York,Commercial Vehicles,EV Sales,Buses,BEV,2021,Percent,17328.88,723
Florida,Passenger Vehicles,EV Stock,Cars,PHEV,2024,Charging Point,30045.94,448
Georgia,Passenger Vehicles,EV Stock,Vans,PHEV,2024,Vehicles,46146.85,358
Colorado,Commercial Vehicles,EV Sales,Vans,PHEV,2023,Charging Point,32203.57,110
Florida,Passenger Vehicles,EV Stock,Vans,PHEV,2020,Percent,28942.91,1241
New York,Passenger Vehicles,EV Sales,Bikes,BEV,2020,Percent,12379.62,965
Texas,Passenger Vehicles,EV Sales,Buses,PHEV,2023,Vehicles,13311.73,419
Illinois,Commercial Vehicles,EV Stock,Vans,PHEV,2018,Charging Point,21860.19,322
Florida,Passenger Vehicles,EV Stock,Bikes,PHEV,2022,Charging Point,44575.49,644
Washington,Commercial Vehicles,EV Sales,Cars,BEV,2020,Percent,29016.24,1780
Arizona,Passenger Vehicles,EV Sales,Cars,BEV,2020,Percent,24782.92,397
Nevada,Commercial Vehicles,EV Sales,Buses,PHEV,2022,Percent,27173.12,630
Texas,Commercial Vehicles,EV Sales,Buses,PHEV,2021,Percent,41705.73,359
New York,Passenger Vehicles,EV Stock,Vans,BEV,2020,Percent,33926.93,423
Georgia,Commercial Vehicles,EV Stock,Buses,BEV,2018,Charging Point,46378.51,115
Colorado,Passenger Vehicles,EV Stock,Bikes,PHEV,2024,Charging Point,29128.87,1253
Colorado,Commercial Vehicles,EV Stock,Buses,BEV,2021,Charging Point,9881.83,1021
Illinois,Passenger Vehicles,EV Sales,Vans,BEV,2021,Vehicles,1034.42,310
New York,Passenger Vehicles,EV Stock,Buses,BEV,2020,Vehicles,15923.98,1029
Texas,Commercial Vehicles,EV Sales,Cars,PHEV,2021,Vehicles,3230.53,373
Washington,Passenger Vehicles,EV Stock,Bikes,BEV,2021,Charging Point,20412.55,594
Nevada,Passenger Vehicles,EV Stock,Buses,BEV,2018,Charging Point,9475.72,735
Georgia,Passenger Vehicles,EV Stock,Vans,PHEV,2021,Vehicles,20305.17,354
Arizona,Commercial Vehicles,EV Stock,Cars,PHEV,2023,Charging Point,20020.24,385
California,Commercial Vehicles,EV Stock,Vans,PHEV,2020,Percent,13885.83,127
California,Passenger Vehicles,EV Stock,Vans,BEV,2020,Vehicles,32675.69,1181
Georgia,Passenger Vehicles,EV Sales,Buses,BEV,2023,Charging Point,21728.35,344
Texas,Passenger Vehicles,EV Stock,Bikes,PHEV,2024,Percent,44683.47,314
Georgia,Commercial Vehicles,EV Sales,Bikes,PHEV,2023,Vehicles,3896.41,775
New York,Passenger Vehicles,EV Stock,Vans,PHEV,2023,Charging Point,20590.12,319
California,Commercial Vehicles,EV Stock,Bikes,PHEV,2022,Charging Point,38819.89,505
Illinois,Commercial Vehicles,EV Stock,Bikes,PHEV,2019,Percent,24777.31,591
New York,Passenger Vehicles,EV Stock,Bikes,BEV,2022,Vehicles,48307.46,402
California,Passenger Vehicles,EV Stock,Cars,BEV,2018,Charging Point,8823.67,398
